variable,norm,error
0,L1,4.30492e+14
0,L2,2.11714e+08
0,LInf,1196.53
0,L1_rel,7.3771e+06
0,L2_rel,21564.9
0,LInf_rel,267.803
1,L1,3.91963e+14
1,L2,1.98946e+08
1,LInf,1285.77
1,L1_rel,6.66648e+07
1,L2_rel,84588
1,LInf_rel,332.21
2,L1,5.04148e+14
2,L2,2.61812e+08
2,LInf,979.531
2,L1_rel,6.15763e+06
2,L2_rel,15580.9
2,LInf_rel,63.1566
3,L1,2.14842e+14
3,L2,1.10252e+08
3,LInf,643.68
3,L1_rel,inf
3,L2_rel,inf
3,LInf_rel,inf
4,L1,2.7653e+14
4,L2,1.45436e+08
4,LInf,550.593
4,L1_rel,inf
4,L2_rel,inf
4,LInf_rel,inf
5,L1,3.09448e+14
5,L2,1.53084e+08
5,LInf,506.722
5,L1_rel,4.29299e+06
5,L2_rel,10789.7
5,LInf_rel,45.7763
6,L1,6.60882e+07
6,L2,3994.99
6,LInf,1.86945
6,L1_rel,2.89409
6,L2_rel,1.00001
6,LInf_rel,1
7,L1,3.22044e+07
7,L2,18.698
7,LInf,0.000105385
7,L1_rel,inf
7,L2_rel,inf
7,LInf_rel,inf
8,L1,1.02761e+08
8,L2,9291.55
8,LInf,10.3037
8,L1_rel,2.48496
8,L2_rel,1.00001
8,LInf_rel,0.999995
