variable,norm,error
0,L1,4.30497e+14
0,L2,2.11716e+08
0,LInf,1197.1
0,L1_rel,7.37729e+06
0,L2_rel,21566.3
0,LInf_rel,267.938
1,L1,3.91939e+14
1,L2,1.9894e+08
1,LInf,1285.57
1,L1_rel,6.66673e+07
1,L2_rel,84589.3
1,LInf_rel,332.159
2,L1,5.0414e+14
2,L2,2.61818e+08
2,LInf,980.077
2,L1_rel,6.15778e+06
2,L2_rel,15582.4
2,LInf_rel,63.1918
3,L1,2.14852e+14
3,L2,1.10254e+08
3,LInf,643.685
3,L1_rel,inf
3,L2_rel,inf
3,LInf_rel,inf
4,L1,2.76532e+14
4,L2,1.45438e+08
4,LInf,551.585
4,L1_rel,inf
4,L2_rel,inf
4,LInf_rel,inf
5,L1,3.0946e+14
5,L2,1.53095e+08
5,LInf,506.646
5,L1_rel,4.2928e+06
5,L2_rel,10789.5
5,LInf_rel,45.7695
6,L1,6.60894e+07
6,L2,3994.7
6,LInf,1.86941
6,L1_rel,2.89421
6,L2_rel,1.00001
6,LInf_rel,1
7,L1,3.22037e+07
7,L2,18.6978
7,LInf,0.000105384
7,L1_rel,inf
7,L2_rel,inf
7,LInf_rel,inf
8,L1,1.02763e+08
8,L2,9292.32
8,LInf,10.3036
8,L1_rel,2.48479
8,L2_rel,1.00001
8,LInf_rel,0.999995
