time,variable,simulation_index,measurement
0.00000000000000000e+00,gravitational_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,acoustic_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,acoustic_kinetic_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,elastic_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,elastic_kinetic_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
0.00000000000000000e+00,momentumX,0,0.00000000000000000e+00
0.00000000000000000e+00,momentumY,0,0.00000000000000000e+00
0.00000000000000000e+00,momentumZ,0,0.00000000000000000e+00
0.00000000000000000e+00,total_frictional_work,0,0.00000000000000000e+00
0.00000000000000000e+00,static_frictional_work,0,0.00000000000000000e+00
0.00000000000000000e+00,seismic_moment,0,0.00000000000000000e+00
0.00000000000000000e+00,potency,0,0.00000000000000000e+00
0.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
1.00000000000000000e+00,gravitational_energy,0,0.00000000000000000e+00
1.00000000000000000e+00,acoustic_energy,0,0.00000000000000000e+00
1.00000000000000000e+00,acoustic_kinetic_energy,0,0.00000000000000000e+00
1.00000000000000000e+00,elastic_energy,0,6.15879543691198500e+15
1.00000000000000000e+00,elastic_kinetic_energy,0,4.98166394413793600e+15
1.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
1.00000000000000000e+00,momentumX,0,8.30029357104492188e+07
1.00000000000000000e+00,momentumY,0,-3.38862271275390625e+08
1.00000000000000000e+00,momentumZ,0,3.21843264736328125e+07
1.00000000000000000e+00,total_frictional_work,0,1.03149854399058800e+16
1.00000000000000000e+00,static_frictional_work,0,5.29619303086603600e+15
1.00000000000000000e+00,seismic_moment,0,3.62120854818619136e+18
1.00000000000000000e+00,potency,0,5.65813835654092193e+08
1.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
2.00000000000000000e+00,gravitational_energy,0,0.00000000000000000e+00
2.00000000000000000e+00,acoustic_energy,0,0.00000000000000000e+00
2.00000000000000000e+00,acoustic_kinetic_energy,0,0.00000000000000000e+00
2.00000000000000000e+00,elastic_energy,0,1.39062299493402540e+16
2.00000000000000000e+00,elastic_kinetic_energy,0,9.14984411711170400e+15
2.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
2.00000000000000000e+00,momentumX,0,-5.68885419156250000e+08
2.00000000000000000e+00,momentumY,0,-3.61727961399414062e+08
2.00000000000000000e+00,momentumZ,0,2.60065746458007812e+08
2.00000000000000000e+00,total_frictional_work,0,2.14173981241801640e+16
2.00000000000000000e+00,static_frictional_work,0,1.11004928729234960e+16
2.00000000000000000e+00,seismic_moment,0,9.77395839880060109e+18
2.00000000000000000e+00,potency,0,1.52718099981259418e+09
2.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
