time,variable,simulation_index,measurement
0.00000000000000000e+00,gravitational_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,acoustic_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,acoustic_kinetic_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,elastic_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,elastic_kinetic_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
0.00000000000000000e+00,momentumX,0,0.00000000000000000e+00
0.00000000000000000e+00,momentumY,0,0.00000000000000000e+00
0.00000000000000000e+00,momentumZ,0,0.00000000000000000e+00
0.00000000000000000e+00,total_frictional_work,0,0.00000000000000000e+00
0.00000000000000000e+00,static_frictional_work,0,0.00000000000000000e+00
0.00000000000000000e+00,seismic_moment,0,0.00000000000000000e+00
0.00000000000000000e+00,potency,0,0.00000000000000000e+00
0.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
1.00000000000000000e+00,gravitational_energy,0,0.00000000000000000e+00
1.00000000000000000e+00,acoustic_energy,0,0.00000000000000000e+00
1.00000000000000000e+00,acoustic_kinetic_energy,0,0.00000000000000000e+00
1.00000000000000000e+00,elastic_energy,0,1.33757344375921734e+14
1.00000000000000000e+00,elastic_kinetic_energy,0,3.21452225785701055e+13
1.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
1.00000000000000000e+00,momentumX,0,-1.52505934936065832e+06
1.00000000000000000e+00,momentumY,0,-2.41397603610408772e+06
1.00000000000000000e+00,momentumZ,0,-3.49750795022516162e+05
1.00000000000000000e+00,total_frictional_work,0,1.65374421273089875e+14
1.00000000000000000e+00,static_frictional_work,0,1.14710902768964891e+14
1.00000000000000000e+00,seismic_moment,0,5.18860533883721728e+17
1.00000000000000000e+00,potency,0,1.61950991101003960e+07
1.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
2.00000000000000000e+00,gravitational_energy,0,0.00000000000000000e+00
2.00000000000000000e+00,acoustic_energy,0,0.00000000000000000e+00
2.00000000000000000e+00,acoustic_kinetic_energy,0,0.00000000000000000e+00
2.00000000000000000e+00,elastic_energy,0,2.85891494987574750e+14
2.00000000000000000e+00,elastic_kinetic_energy,0,5.61414942085328828e+13
2.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
2.00000000000000000e+00,momentumX,0,8.57654398909759521e+06
2.00000000000000000e+00,momentumY,0,1.50971466838836670e+07
2.00000000000000000e+00,momentumZ,0,-3.56383044385528564e+06
2.00000000000000000e+00,total_frictional_work,0,3.38573675828301000e+14
2.00000000000000000e+00,static_frictional_work,0,2.72870212633971531e+14
2.00000000000000000e+00,seismic_moment,0,1.76218216751847962e+18
2.00000000000000000e+00,potency,0,5.50026702539857030e+07
2.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
