time,variable,simulation_index,measurement
0.00000000000000000e+00,gravitational_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,acoustic_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,acoustic_kinetic_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,elastic_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,elastic_kinetic_energy,0,0.00000000000000000e+00
0.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
0.00000000000000000e+00,momentumX,0,0.00000000000000000e+00
0.00000000000000000e+00,momentumY,0,0.00000000000000000e+00
0.00000000000000000e+00,momentumZ,0,0.00000000000000000e+00
0.00000000000000000e+00,total_frictional_work,0,0.00000000000000000e+00
0.00000000000000000e+00,static_frictional_work,0,0.00000000000000000e+00
0.00000000000000000e+00,seismic_moment,0,0.00000000000000000e+00
0.00000000000000000e+00,potency,0,0.00000000000000000e+00
0.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
5.00000000000000000e+00,gravitational_energy,0,1.52448281012383175e+10
5.00000000000000000e+00,acoustic_energy,0,4.55876677137055115e+11
5.00000000000000000e+00,acoustic_kinetic_energy,0,1.60803622885577319e+12
5.00000000000000000e+00,elastic_energy,0,3.40619182131239812e+14
5.00000000000000000e+00,elastic_kinetic_energy,0,1.52344035574977969e+14
5.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
5.00000000000000000e+00,momentumX,0,3.36471998691882422e+13
5.00000000000000000e+00,momentumY,0,2.97137520896072865e+09
5.00000000000000000e+00,momentumZ,0,-1.71892650398653828e+13
5.00000000000000000e+00,total_frictional_work,0,5.02917423671496188e+14
5.00000000000000000e+00,static_frictional_work,0,3.74143820513385750e+14
5.00000000000000000e+00,seismic_moment,0,6.11949657943520768e+18
5.00000000000000000e+00,potency,0,1.91006729430848360e+08
5.00000000000000000e+00,plastic_moment,0,0.00000000000000000e+00
1.00000000000000000e+01,gravitational_energy,0,1.52739483611603857e+12
1.00000000000000000e+01,acoustic_energy,0,1.61477615977227207e+13
1.00000000000000000e+01,acoustic_kinetic_energy,0,2.54958362699155859e+13
1.00000000000000000e+01,elastic_energy,0,3.52045251818239150e+15
1.00000000000000000e+01,elastic_kinetic_energy,0,6.12494840669012500e+14
1.00000000000000000e+01,plastic_moment,0,0.00000000000000000e+00
1.00000000000000000e+01,momentumX,0,1.53838954275467450e+15
1.00000000000000000e+01,momentumY,0,9.66412114997603394e+11
1.00000000000000000e+01,momentumZ,0,1.16625693468763600e+15
1.00000000000000000e+01,total_frictional_work,0,5.16085705352979800e+15
1.00000000000000000e+01,static_frictional_work,0,2.92034934301900800e+15
1.00000000000000000e+01,seismic_moment,0,6.01903803126647603e+19
1.00000000000000000e+01,potency,0,1.87871135108667684e+09
1.00000000000000000e+01,plastic_moment,0,0.00000000000000000e+00
